,0
0,34.175
1,34.225
2,34.275
3,34.325
4,34.375
5,34.425
6,34.475
7,34.525
8,34.575
9,34.625
10,34.675
11,34.725
12,34.775
13,34.825
14,34.875
15,34.925
16,34.975
17,35.025
18,35.075
19,35.125
20,35.175
21,35.225
22,35.275
23,35.325
24,35.375
25,35.425
26,35.475
27,35.525
28,35.575
29,35.625
30,35.675
31,35.725
32,35.775
33,35.825
34,35.875
35,35.925
36,35.975
37,36.025
38,36.075
39,36.125
40,36.175
41,36.225
42,36.275
43,36.325
44,36.375
45,36.425
46,36.475
47,36.525
48,36.575
49,36.625
50,36.675
51,36.725
52,36.775
53,36.825
54,36.875
55,36.925
56,36.975
57,37.025
58,37.075
59,37.125
60,37.175
61,37.225
62,37.275
63,37.325
64,37.375
65,37.425
66,37.475
67,37.525
68,37.575
69,37.625
70,37.675
71,37.725
72,37.775
73,37.825
74,37.875
75,37.925
76,37.975
77,38.025
78,38.075
79,38.125
80,38.175
81,38.225
82,38.275
83,38.325
84,38.375
85,38.425
86,38.475
87,38.525
88,38.575
89,38.625
90,38.675
91,38.725
92,38.775
93,38.825
94,38.875
95,38.925
96,38.975
97,39.025
98,39.075
99,39.125
100,39.175
101,39.225
102,39.275
103,39.325
104,39.375
105,39.425
106,39.475
107,39.525
108,39.575
109,39.625
110,39.675
111,39.725
112,39.775
113,39.825
114,39.875
115,39.925
116,39.975
117,40.025
118,40.075
119,40.125
120,40.175
121,40.225
122,40.275
123,40.325
124,40.375
125,40.425
126,40.475
127,40.525
128,40.575
129,40.625
130,40.675
131,40.725
132,40.775
133,40.825
134,40.875
135,40.925
136,40.975
137,41.025
138,41.075
139,41.125
140,41.175
141,41.225
142,41.275
143,41.325
144,41.375
145,41.425
146,41.475
147,41.525
148,41.575
149,41.625
150,41.675
151,41.725
152,41.775
153,41.825
154,41.875
155,41.925
156,41.975
157,42.025
158,42.075
159,42.125
160,42.175
161,42.225
162,42.275
163,42.325
164,42.375
165,42.425
